"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","779","GET - get a user","chromium","2026-09-05","passed","2026-09-05","","api/users.schema.api.spec.ts","",""
"","375","DELETE USer Request","chromium","2026-09-05","passed","2026-09-05","@smoke running end to end go rest CRUD API test","api/users.api.fixture.spec.ts","",""
"","3241","@smoke intercept and log the request","chromium","2026-09-05","passed","2026-09-05","","api/interception.spec.ts","",""
"","3301","@smoke footers count on product page","chromium","2026-09-05","passed","2026-09-05","","ui/productpage.spec.ts","",""
"","1334","Get Request","chromium","2026-09-05","passed","2026-09-05","@smoke running end to end go rest CRUD API test","api/users.api.fixture.spec.ts","",""
"","9985","@regression verify product Information/Data","chromium","2026-09-05","passed","2026-09-05","","ui/productpage.spec.ts","",""
"","749","Delete a user test","chromium","2026-09-05","passed","2026-09-05","","api/users.api.spec.ts","",""
"","1","Excel Invalid login test with data driven invaliduser123@gmail.com","chromium","2026-09-05","skipped","2026-09-05","","ui/loginpagefixture.spec.ts","",""
"","0","Excel Invalid login test with data driven test12312@abc.com","chromium","2026-09-05","skipped","2026-09-05","","ui/loginpagefixture.spec.ts","",""
"","2961","@regression JSON Invalid login test with data driven abcd@test.com","chromium","2026-09-05","passed","2026-09-05","","ui/loginpagefixture.spec.ts","",""
"","2965","@regression CSV Invalid login test with data driven invaliduser123@gmail.com","chromium","2026-09-05","passed","2026-09-05","","ui/loginpagefixture.spec.ts","",""
"","3310","@smoke Is Logout link present","chromium","2026-09-05","passed","2026-09-05","","ui/homepagefix.spec.ts","",""
"","2858","@regression CSV Invalid login test with data driven testtest1@abc.com","chromium","2026-09-05","passed","2026-09-05","","ui/loginpagefixture.spec.ts","",""
"","0","Excel Invalid login test with data driven testtest1@abc.com","chromium","2026-09-05","skipped","2026-09-05","","ui/loginpagefixture.spec.ts","",""
"","2446","login page title test","chromium","2026-09-05","passed","2026-09-05","","ui/loginpage.spec.ts","",""
"","2364","@regression forgot password link exists test","chromium","2026-09-05","passed","2026-09-05","","ui/loginpagefixture.spec.ts","",""
"","2945","@regression JSON Invalid login test with data driven nouser@test.com","chromium","2026-09-05","passed","2026-09-05","","ui/loginpagefixture.spec.ts","",""
"","8622","@smoke @regression verify search with product - macbook - MacBook Pro","chromium","2026-09-05","passed","2026-09-05","","ui/search.spec.ts","",""
"","395","GET - get a users array","chromium","2026-09-05","passed","2026-09-05","","api/users.schema.api.spec.ts","",""
"","0","PATCH Request - 1","chromium","2026-09-05","skipped","2026-09-05","","api/user.api.final.spec.ts","",""
"","2349","forgot password link exists test","chromium","2026-09-05","passed","2026-09-05","","ui/loginpage.spec.ts","",""
"","3267","@smoke Is Company Logo Visisble on product page","chromium","2026-09-05","passed","2026-09-05","","ui/productpage.spec.ts","",""
"","4139","@regression nvalid login test with data driven","chromium","2026-09-05","passed","2026-09-05","","ui/loginpagefixture.spec.ts","",""
"","48","@regression GET -- get location data","chromium","2026-09-05","passed","2026-09-05","","api/amadeus.oauth2.spec.ts","",""
"","401","create a user test","chromium","2026-09-05","passed","2026-09-05","","api/users.api.spec.ts","",""
